tic,conm,fyear,sale,cogs,ni,at,sich
HE1,HAWAIIAN ELECTRIC CO,2021,2539.636,2030.609,179.637,6491.625,4911
HE,HAWAIIAN ELECTRIC INDS,2021,2850.379,2185.611,248.056,15822.637,4911
DINO,HF SINCLAIR CORP,2021,18389.142,16746.661,558.324,12916.613,2911
4300A,HYDRO QUEBEC,2021,11479.228,4666.449,2816.465,65352.415,4911
IDA,IDACORP INC,2021,1458.084,952.878,245.55,7210.515,4911
AEP2,INDIANA MICHIGAN POWER CO,2021,2326.7,1522.8,279.8,12408.2,4911
AES4,IPALCO ENTERPRISES INC,2021,1426.132,925.007,119.182,5239.767,4911
GPU3,JERSEY CENTRAL POWER & LIGHT,2021,1816.0,1449.0,266.0,8416.0,4911
PNRG,PRIMEENERGY RESOURCES CORP,2021,79.584,39.384,2.098,210.914,1311
AEP4,KENTUCKY POWER,2021,646.383,478.969,50.15,2840.649,4911
RRC,RANGE RESOURCES CORP,2021,2930.223,1646.361,411.778,6660.507,1311
ETR2,ENTERGY LOUISIANA LLC,2021,5068.448,3416.961,653.984,27675.838,4911
MRO,MARATHON OIL CORP,2021,5218.0,1636.0,946.0,16994.0,1311
GPU1,METROPOLITAN EDISON,2021,867.0,561.0,207.0,3050.0,4911
MXC,MEXCO ENERGY CORP,2021,6.588,1.281,2.855,13.285,1311
ETR6,SYSTEM ENERGY RESOURCES INC,2021,570.848,353.935,106.814,4372.624,4911
ETR,ENTERGY CORP,2021,11742.896,7906.573,1136.811,59454.242,4911
ETR4,ENTERGY MISSISSSIPPI,2021,1406.346,895.299,166.834,5557.389,4911
SO4,MISSISSIPPI POWER CO,2021,1322.0,937.0,159.0,5080.0,4911
AYE1,MONONGAHELA POWER,2021,1490.0,1110.0,156.0,4901.0,4911
MUR,MURPHY OIL CORP,2021,2275.365,964.082,-73.664,10304.94,1311
OXY,OCCIDENTAL PETROLEUM CORP,2021,25956.0,10692.0,2322.0,75036.0,1311
FE,FIRSTENERGY CORP,2021,11132.0,7714.0,1283.0,45432.0,4911
AEP5,OHIO POWER,2021,2899.1,2210.6,253.6,9265.8,4911
OTTR,OTTER TAIL CORP,2021,1196.844,855.778,176.769,2754.83,4911
MEC2,PACIFICORP,2021,5296.0,3075.0,888.0,26456.0,4911
ROCC,RANGER OIL CORPORATION,2021,579.491,101.901,40.229,1576.608,1311
FE4,PENNSYLVANIA ELECTRIC CO,2021,826.0,512.0,222.0,3699.0,4911
PPL,PPL CORP,2021,5811.0,3214.0,-1480.0,33223.0,4911
PDCE,PDC ENERGY INC,2021,1855.91,448.761,522.311,5336.666,1311
EXC,EXELON CORP,2021,36347.0,26433.0,1706.0,133013.0,4911
COP,CONOCOPHILLIPS,2021,45960.0,25352.0,8079.0,90661.0,1311
NU4,PUBLIC SERVICE CO/N H,2021,1177.248,824.979,150.338,4740.784,4911
TXNM,TXNM ENERGY INC,2021,1779.873,1173.105,196.357,8666.885,4911
AEP12,PUBLIC SERVICE CO OF OKLA,2021,1474.4,1084.9,141.1,6399.0,4911
EIX,EDISON INTERNATIONAL,2021,14881.0,9692.0,925.0,74745.0,4911
SO,SOUTHERN CO,2021,23113.0,14342.0,2408.0,127534.0,4911
AEP13,SOUTHWESTERN ELECTRIC PWR CO,2021,2131.8,1485.7,239.0,9325.7,4911
SWN,SOUTHWESTERN ENERGY CO,2021,6667.0,3403.0,-25.0,11848.0,1311
NCE2,SOUTHWESTERN PUBLIC SVC CO,2021,2465.0,1799.0,318.0,9262.0,4911
SBOW,SILVERBOW RESOURCES INC,2021,407.2,71.172,86.759,819.454,1311
PNM2,TEXAS NEW MEXICO POWER CO,2021,417.853,226.829,63.879,2364.772,4911
FE3,TOLEDO EDISON CO,2021,462.0,357.0,48.0,1446.0,4911
UNTC,UNIT CORP,2021,638.716,384.362,60.647,629.477,1311
USEG,US ENERGY CORP,2021,6.658,2.869,-1.77,17.663,1311
D1,VIRGINIA ELECTRIC & POWER CO,2021,7470.0,3541.0,1712.0,47932.0,4911
OVV,OVINTIV INC,2021,8658.0,5485.0,1416.0,14055.0,1311
ALTX,ALTEX INDUSTRIES INC,2021,0.044,0.003,-0.082,2.199,1311
SHEL,SHELL PLC,2021,261504.0,198734.0,20101.0,404379.0,2911
POR,PORTLAND GENERAL ELECTRIC CO,2021,2396.0,1614.0,244.0,9494.0,4911
CX2,CLEVELAND ELECTRIC ILLUM,2021,1044.0,798.0,83.0,4384.0,4911
JECFF,JURA ENERGY CORP,2021,20.954,18.393,-6.81,43.446,1311
BRY,BERRY CORP,2021,544.95,344.743,-15.542,1456.479,1311
PED,PEDEVCO CORP,2021,15.86,5.943,-1.299,98.221,1311
SMC,SUMMIT MIDSTREAM CORP,2021,400.618,156.147,-36.616,2522.462,1311
TGA,TRANSGLOBE ENERGY CORP,2021,158.475,44.632,40.338,239.095,1311
AEP10,AEP GENERATING CO,2021,326.379,198.115,22.908,673.14,4911
PXD,PIONEER NATURAL RESOURCES CO,2021,17870.0,8517.0,2118.0,36811.0,1311
TAC,TRANSALTA CORP,2021,2721.0,1219.0,-537.0,9226.0,4911
ATE1,ATLANTIC CITY ELECTRIC CO,2021,1388.0,1022.0,146.0,4556.0,4911
EIX1,SOUTHERN CALIFORNIA EDISON,2021,14874.0,9630.0,935.0,74538.0,4911
DVN,DEVON ENERGY CORP,2021,12206.0,6369.0,2813.0,21025.0,1311
CPE,CALLON PETROLEUM CO/DE,2021,2045.03,588.725,365.151,5547.503,1311
VLO,VALERO ENERGY CORP,2021,108332.0,102971.0,930.0,57888.0,2911
REPYY,REPSOL SA,2021,59334.283,52793.523,2842.177,63979.121,2911
CIN3,DUKE ENERGY INDIANA INC,2021,3174.0,1817.0,481.0,14488.0,4911
PQEFF,PETROTEQ ENERGY INC,2021,2.0,2.091,-9.474,81.035,1311
EOG,EOG RESOURCES INC,2021,18517.0,3637.0,4664.0,38236.0,1311
HGKGY,POWER ASSETS HOLDINGS LTD,2021,0.0,17.955,787.431,12094.127,4911
TALO,TALOS ENERGY INC,2021,1244.54,305.087,-182.952,2766.815,1311
ORXPF,FORZA PETROLEUM LTD,2021,110.856,60.683,10.27,587.725,1311
AR,ANTERO RESOURCES CORP,2021,4619.432,3605.575,-186.899,13896.528,1311
ALVOF,ALVOPETRO ENERGY LTD,2021,31.873,3.574,6.614,81.231,1311
PHX,PHX MINERALS INC,2021,21.972,11.987,-6.217,117.011,1311
FECOF,FEC RESOURCES INC,2021,0.0,0.0,-0.168,2.182,1311
ERF,ENERPLUS CORP,2021,1208.143,526.115,234.441,1990.084,1311
CTRA,COTERRA ENERGY INC,2021,3449.0,902.0,1158.0,19900.0,1311
DEN,DENBURY INC,2021,1242.872,603.546,56.002,1902.953,1311
PTVRF,PETRO-VICTORY ENERGY CORP,2021,0.81,2.782,-2.774,8.93,1311
CRC,CALIFORNIA RESOURCES CORP,2021,1889.0,1207.0,612.0,3846.0,1311
HESM,HESS MIDSTREAM LP,2021,1203.8,288.3,46.4,3485.6,1311
PARR,PAR PACIFIC HOLDINGS INC,2021,4710.089,4651.611,-81.297,2570.251,2911
ESTE,EARTHSTONE ENERGY INC,2021,419.643,75.73,35.484,1556.367,1311
RSRV,RESERVE PETROLEUM CO,2021,9.116,2.721,1.251,33.346,1311
BSM,BLACK STONE MINERALS LP,2021,359.26,62.865,181.987,1247.921,1311
AMNI,AMERICAN NOBLE GAS INC,2021,0.079,0.531,-1.604,1.106,1311
JADSF,JADESTONE ENERGY PLC,2021,340.194,213.116,-13.742,731.908,1311
AXAS,ABRAXAS PETROLEUM CORP/NV,2021,78.858,24.615,-44.567,130.476,1311
SPND,SPINDLETOP OIL & GAS CO,2021,6.068,2.287,1.037,26.085,1311
TTE,TOTALENERGIES SE,2021,184634.0,146871.0,16032.0,293458.0,2911
PPL5,KENTUCKY UTILITIES CO,2021,1826.0,992.0,296.0,9272.0,4911
SM,SM ENERGY CO,2021,2622.894,551.485,36.229,5233.977,1311
EP,EMPIRE PETROLEUM CORP,2021,27.904,16.198,-18.615,50.09,1311
GPOR,GULFPORT ENERGY CORP,2021,808.802,585.2,138.165,2168.232,1311
PR,PERMIAN RESOURCES CORP,2021,1029.892,259.455,138.175,3804.594,1311
NRIS,NORRIS INDUSTRIES INC,2021,0.452,0.599,-0.499,0.387,1311
ROII,RISKON INTERNATIONAL INC,2021,25.6,13.456,-9.925,35.977,1311
EGY,VAALCO ENERGY INC,2021,199.075,78.355,81.836,263.09,1311
TRLM,TRULEUM INC,2021,0.004,0.016,-1.071,0.17,1311
EXE,EXPAND ENERGY CORP,2021,5792.0,3882.0,6328.0,11009.0,1311
SHASF,SHAMARAN PETROLEUM CORP,2021,102.323,26.485,13.383,368.465,1311
YPF,YACIMIENTOS PETE FISCALES SA,2021,12380.517,7438.904,2.503,23275.056,2911
SHIIY,SINOPEC SHANGHAI PETROCHEM,2021,11966.183,11432.514,326.401,7386.264,2911
ROYL,ROYALE ENERGY INC,2021,1.719,1.992,-3.598,10.787,1311
ENIAY,ENEL AMERICAS SA,2021,16192.336,12089.965,740.859,34958.938,4911
LNG,CHENIERE ENERGY INC,2021,15864.0,15222.0,-2343.0,39258.0,1311
KRP,KIMBELL ROYALTY PARTNERS LP,2021,135.615,49.507,33.942,601.487,1311
PBEGF,TOUCHSTONE EXPLORATION INC,2021,20.357,-5.612,5.719,143.02,1311
TELL,TELLURIAN INC,2021,71.275,86.624,-114.738,621.806,1311
HNPIY,HUANENG POWER INTERNATIONAL,2021,31943.578,29597.55,-1674.355,78831.676,4911
TGS,TRANSPORTADORA DE GAS DEL SU,2021,866.473,442.225,203.832,2027.304,1311
KEP,KEPCO-KOREA ELEC POWER CORP,2021,50299.87,45756.355,-4462.201,177234.341,4911
GASXF,NG ENERGY INTERNATIONAL CORP,2021,0.0,0.0,-6.714,23.146,1311
IPCFF,INTERNATIONAL PETROLEUM,2021,666.409,325.007,146.028,1273.674,1311
MGY,MAGNOLIA OIL & GAS CORP,2021,1078.351,194.39,417.282,1746.742,1311
UCM1,COMMONWEALTH EDISON CO,2021,6406.0,3936.0,742.0,36470.0,4911
PTALF,PETROTAL CORP,2021,150.227,45.267,63.972,398.288,1311
CRK,COMSTOCK RESOURCES INC,2021,1850.73,283.548,-241.725,4668.229,1311
STR,SITIO ROYALTIES CORP,2021,68.008,5.687,13.156,261.841,1311
REPX,RILEY EXPL PERMIAN INC,2021,151.036,31.088,-65.666,388.231,1311
MNRL,BRIGHAM MINERALS INC,2021,161.217,16.138,50.283,820.877,1311
SLNG,STABILIS SOLUTIONS INC,2021,77.165,59.481,-7.798,87.336,1311
INDO,INDONESIA ENERGY CORP LTD,2021,2.453,2.492,-6.083,12.09,1311
BEPC,BROOKFIELD RENEWABLE CORP,2021,3367.0,1360.0,946.0,41986.0,4911
HPK,HIGHPEAK ENERGY INC,2021,220.124,42.475,55.559,818.96,1311
GRNT,GRANITE RIDGE RESOURCES INC,2021,290.193,44.399,108.459,547.246,1311
MNTK,MONTAUK RENEWABLES INC,2021,148.127,78.71,-4.528,286.48,1311
ALPSQ,ALPINE SUMMIT ENGY PTNRS INC,2021,70.797,12.087,-29.671,145.627,1311
CRGY,CRESCENT ENERGY CO,2021,1476.977,613.123,-19.376,5157.462,1311
TPET,TRIO PETROLEUM CORP,2021,,,,7.774,1311
TXO,TXO ENERGY PARTNERS LP,2021,228.344,127.296,52.475,832.82,1311
VTS,VITESSE ENERGY INC,2021,185.178,59.854,18.114,614.128,1311
MNR,MACH NATURAL RESOURCES LP,2021,392.497,135.478,138.374,525.379,1311
E,ENI SPA,2021,88329.265,67285.327,6620.373,156683.678,2911
EPM,EVOLUTION PETROLEUM CORP,2021,32.702,41.379,-16.438,76.706,1311
ELPC,COPEL-CIA PARANAENSE ENERGIA,2021,4304.799,3493.8,676.152,8891.201,4911
EDPFY,EDP SA,2021,17040.448,14125.17,746.901,57996.961,4911
DTE1,DETROIT EDISON CO,2021,5809.0,3431.0,866.0,28405.0,4911
AMEN,AMEN PROPERTIES INC,2021,3.065,1.121,1.757,5.299,1311
UNS1,TUCSON ELECTRIC POWER CO,2021,1592.586,1064.711,201.245,6321.74,4911
SSLZY,SANTOS LTD,2021,4837.0,1739.0,658.0,30009.0,1311
WDS,WOODSIDE ENERGY GROUP LTD,2021,6962.0,1878.0,1983.0,26474.0,1311
RWEOY,RWE AKTIENGESELLSCHAFT,2021,29522.701,27806.477,820.012,161851.686,4911
SSEZY,SSE PLC,2021,11315.479,5899.082,3984.775,33863.36,4911
FECCF,FRONTERA ENERGY CORP,2021,894.061,-178.737,628.133,2611.08,1311
CWVLF,CROWN POINT ENERGY INC,2021,22.892,11.589,9.775,58.309,1311
MRNFF,MEREN ENERGY INC,2021,0.0,0.0,190.722,991.618,1311
XLEFF,XXL ENERGY CORP,2021,2.486,0.947,-2.911,5.091,1311
SNUYF,SERINUS ENERGY PLC,2021,36.664,19.621,8.424,94.784,1311
CNNEQ,CANACOL ENERGY LTD,2021,310.544,89.685,15.177,843.76,1311
NKRSF,NIKO RESOURCES LTD,2021,0.0,0.0,-1.854,2.426,1311
FE1,OHIO EDISON CO,2021,1671.0,1247.0,247.0,3936.0,4911
FOLGF,FALCON OIL & GAS LTD,2021,0.002,0.0,-4.693,51.439,1311
CEIN,CAMBER ENERGY INC,2021,37.988,20.619,-14.486,58.151,1311
STMGF,STAMPER OIL & GAS CORP,2021,0.0,0.0,-0.294,0.687,1311
EAS2,NEW YORK ST ELEC & GAS CORP,2021,1804.453,1431.722,154.137,6970.203,4911
EPD,ENTERPRISE PRODCT PARTNRS LP,2021,40806.9,33202.9,4637.7,67525.6,1311
POM4,DELMARVA POWER & LIGHT CO,2021,1380.0,951.0,128.0,5412.0,4911
NST1,NSTAR ELECTRIC CO,2021,3056.35,2056.791,476.569,13799.946,4911
OGE1,OKLAHOMA GAS & ELECTRIC CO,2021,3653.7,2691.6,360.0,11688.0,4911
AEE1,UNION ELECTRIC CO,2021,3353.0,2159.0,521.0,18722.0,4911
CGXEF,CGX ENERGY INC,2021,0.0,4.558,-12.695,134.062,1311
CNX,CNX RESOURCES CORP,2021,751.012,709.756,-498.643,8100.751,1311
GNOLF,GENOIL INC,2021,0.0,0.0,-2.015,0.272,1311
DBRM,DAYBREAK OIL & GAS INC,2021,0.68,0.231,-0.398,0.976,1311
9840B,OLD DOMINION ELECTRIC COOP,2021,780.64,649.457,20.047,2175.059,4911
PTCCY,PETROCHINA COMPANY LIMITED,2021,411552.231,338903.911,14509.451,393907.435,2911
NRG,NRG ENERGY INC,2021,24379.0,19780.0,2187.0,23182.0,4911
SPOWF,STRATA PWR CORP,2021,0.031,0.06,-0.218,0.135,1311
NOG,NORTHERN OIL & GAS INC,2021,496.899,247.771,6.361,1522.866,1311
CEO,CNOOC LTD,2021,38742.927,11370.958,11069.812,123822.117,1311
CUPUF,CARIBBEAN UTILITIES COMPANY,2021,198.478,129.118,30.319,634.15,4911
CEG1,BALTIMORE GAS & ELECTRIC CO,2021,3341.0,2258.0,408.0,12324.0,4911
PGN2,DUKE ENERGY PROGRESS INC,2021,5780.0,3467.0,991.0,35383.0,4911
CNL1,CLECO POWER LLC,2021,1241.637,863.952,134.088,5129.501,4911
IDA1,IDAHO POWER CO,2021,1455.41,950.287,243.225,6990.839,4911
SRP2,NEVADA POWER CO,2021,2139.0,1288.0,303.0,8752.0,4911
PPL2,PPL ELECTRIC UTILITIES CORP,2021,2402.0,1243.0,445.0,13302.0,4911
EAS3,CENTRAL MAINE POWER CO,2021,978.399,592.403,179.833,5158.505,4911
AGIG,ABUNDIA GLOBAL IMPACT GRP IN,2021,1.33,0.622,-1.022,10.734,1311
SARA,SARATOGA RESOURCES INC,2021,0.0,0.0,-0.529,0.006,1311
POM3,POTOMAC ELECTRIC POWER CO,2021,2274.0,1468.0,296.0,9903.0,4911
WLL,WHITING PETROLEUM CORP,2021,1533.481,400.571,427.906,2457.931,1311
CNP6,CENTERPOINT ENRG HOUSTON ELE,2021,3134.0,1848.0,381.0,12980.0,4911
TXU3,ONCOR ELECTRIC DELIVERY CO,2021,4764.0,2577.0,770.0,30633.0,4911
EXC2,EXELON GENERATION CO LLC,2021,19649.0,17163.0,-205.0,48086.0,4911
GXP1,KANSAS CITY POWER & LIGHT CO,2021,1913.7,1103.0,312.3,9156.8,4911
SO6,SOUTHERN POWER CO,2021,2216.0,1409.0,266.0,13390.0,4911
VST,VISTRA CORP,2021,12077.0,11279.0,-1274.0,29683.0,4911
WTI,W&T OFFSHORE INC,2021,558.01,202.501,-41.478,1193.207,1311
ORA,ORMAT TECHNOLOGIES INC,2021,663.084,289.562,62.092,4425.678,4911
VELXQ,CANADIAN OVERSEAS PETRO LTD,2021,2.398,6.479,-13.536,98.778,1311
CEI.2,CAMBER ENERGY INC -OLD,2021,0.401,0.135,-169.675,46.404,1311
ZNOG,ZION OIL & GAS INC,2021,0.0,0.0,-10.721,63.431,1311
GTE,GRAN TIERRA ENERGY INC,2021,473.722,143.646,42.482,1189.111,1311
CTARF,CENTAURUS ENERGY INC,2021,19.515,3.459,-4.829,40.942,1311
DCP,DCP MIDSTREAM LP,2021,11325.0,9874.0,391.0,13380.0,1311
CLMT,CALUMET INC,2021,3148.0,2897.4,-260.1,2127.9,2911
DK,DELEK US HOLDINGS INC,2021,10648.2,10341.2,-203.5,6728.0,2911
FANG,DIAMONDBACK ENERGY INC,2021,6797.0,1294.0,2182.0,22898.0,1311
PSX,PHILLIPS 66,2021,111476.0,107659.0,1317.0,55594.0,2911
BATL,BATTALION OIL CORP,2021,285.205,120.109,-28.317,390.267,1311
HRST,HARVEST OIL & GAS CORP,2021,0.033,0.0,-4.724,20.789,1311
GSPE,GULFSLOPE ENERGY INC,2021,0.0,0.396,-2.226,13.698,1311
REI,RING ENERGY INC,2021,196.306,46.57,3.323,684.157,1311
SD,SANDRIDGE ENERGY INC,2021,168.882,45.917,116.738,352.912,1311
TCRRF,TERRACE ENERGY CORP,2021,0.0,0.0,0.093,0.911,1311
OILY,SINO AMERICAN OIL CO,2021,0.0,0.0,-0.619,0.0,1311
CVI,CVR ENERGY INC,2021,7242.0,6754.0,25.0,3906.0,2911
EPSN,EPSILON ENERGY LTD,2021,42.404,8.818,11.628,99.463,1311
BIP,BROOKFIELD INFRS PTRS LP,2021,11537.0,6617.0,1093.0,73961.0,4911
ETR8,ENTERGY TEXAS INC,2021,1902.511,1360.966,228.824,6261.411,4911
NMEX,NORTHERN MINERALS & EXPL LTD,2021,0.0,0.03,-0.243,0.001,1311
KGEI,KOLIBRI GLOBAL ENERGY INC,2021,14.974,-67.858,71.002,157.016,1311
DUK5,DUKE ENERGY CAROLINAS LLC,2021,7102.0,3981.0,1336.0,47162.0,4911
MMEX,MMEX RESOURCES CORP,2021,0.0,0.0,-0.229,1.298,2911
LOONF,LOON ENERGY CORP,2021,0.0,0.0,-0.137,0.017,1311
DENR,DISCOVERY ENERGY CORP,2021,0.0,0.0,-2.335,2.943,1311
CPXWF,CAPITAL POWER CORP,2021,1757.0,823.0,98.0,9073.0,4911
PARXF,PAREX RESOURCES INC,2021,900.199,199.313,303.105,1784.221,1311
CHRD,CHORD ENERGY CORP,2021,1579.926,783.404,319.602,3026.787,1311
VLERF,VALEURA ENERGY INC,2021,2.703,1.583,-64.55,45.223,1311
VOC,VOC ENERGY TRUST,2021,9.302,0.0,8.67,16.005,1311
KOS,KOSMOS ENERGY LTD,2021,1332.013,346.006,-77.836,4940.651,1311
MPC,MARATHON PETROLEUM CORP,2021,119983.0,110729.0,9738.0,85373.0,2911
CIVI,CIVITAS RESOURCES INC,2021,930.614,207.129,178.921,6741.033,1311
MTDR,MATADOR RESOURCES CO,2021,1662.981,426.536,584.968,4262.153,1311
VTLE,VITAL ENGY INC,2021,1394.075,475.033,145.008,2551.824,1311
HPMCF,AFRICA ENERGY CORP,2021,0.0,0.0,21.564,267.24,1311
AMPY,AMPLIFY ENERGY CORP,2021,336.216,166.455,-32.07,455.1,1311
PBF,PBF ENERGY INC,2021,27253.4,26149.4,231.0,11641.4,2911
ECAOF,ECO ATLANTIC OIL & GAS LTD,2021,0.0,0.0,-6.557,45.869,1311
AXIA,AXIA ENERGIA SA,2021,6751.518,5460.11,1013.393,33797.411,4911
ENLAY,ENEL SPA,2021,100091.487,87601.376,3626.932,235358.184,4911
LUKOY,PJSC LUKOIL,2021,122880.991,101202.868,10307.375,91483.97,2911
NGG,NATIONAL GRID,2021,24251.211,16318.203,3093.019,124693.47,4911
PAM,PAMPA ENERGIA SA,2021,1508.0,835.0,273.0,3861.0,4911
EQNR,EQUINOR ASA,2021,88744.0,44890.0,8563.0,147120.0,2911
ENGIY,ENGIE SA,2021,65812.49,53885.356,4163.749,256277.016,4911
PBR,PETROLEO BRASILEIRO SA- PETR,2021,83966.0,30920.0,19875.0,174348.0,2911
APEOF,COLOURED TIES CAPITAL INC,2021,0.0,0.0,-3.271,21.944,1311
GPRK,GEOPARK LTD,2021,688.543,217.124,61.127,895.741,1311
TETHF,TETHYS PETROLEUM LTD,2021,15.906,4.316,-3.989,73.944,1311
EC,ECOPETROL SA,2021,22586.237,11380.437,3846.872,59593.311,2911
ITEEF,I3 ENERGY PLC,2021,110.059,51.382,33.965,428.288,1311
VIST,VISTA ENERGY SAB DE CV,2021,652.187,194.269,50.65,1683.758,1311
CSTPF,ARROW EXPLORATION CORP,2021,6.512,-3.357,5.694,41.196,1311
RNW,RENEW ENERGY GLOBAL PLC,2021,782.036,332.875,-211.845,8450.913,4911
PNW,PINNACLE WEST CAPITAL CORP,2022,4324.385,2839.279,483.602,22723.405,4911
SO1,ALABAMA POWER CO,2022,7817.0,5000.0,1351.0,34970.0,4911
HES,HESS CORP,2022,11324.0,5089.0,2096.0,21695.0,1311
AEP,AMERICAN ELECTRIC POWER CO,2022,19639.5,12744.0,2307.2,93469.4,4911
APA,APA CORP,2022,10961.0,3855.0,3674.0,13147.0,1311
AEP1,APPALACHIAN POWER,2022,3519.9,2354.0,394.2,15222.2,4911
PNW1,ARIZONA PUBLIC SERVICE CO,2022,4324.385,2826.334,524.929,22543.852,4911
ETR1,ENTERGY ARKANSAS,2022,2673.194,1696.948,297.245,13006.576,4911
BRN,BARNWELL INDUSTRIES,2022,28.527,13.263,5.513,37.215,1311
BP,BP PLC,2022,241392.0,171894.0,-2487.0,288120.0,2911
DUK8,PROGRESS ENERGY INC,2022,13125.0,8155.0,1828.0,66079.0,4911
CVX,CHEVRON CORP,2022,235717.0,174162.0,35465.0,257709.0,2911
NU1,CONNECTICUT LIGHT & POWER CO,2022,4817.744,3672.019,532.92,14758.796,4911
AES5,DPL INC,2022,869.0,739.7,-4.7,2422.4,4911
D,DOMINION ENERGY INC,2022,17174.0,12623.0,994.0,104243.0,4911
XOM,EXXON MOBIL CORP,2022,398675.0,301387.0,55740.0,369067.0,2911
NEE,NEXTERA ENERGY INC,2022,20956.0,12372.0,4147.0,158935.0,4911
FPL1,FLORIDA POWER & LIGHT CO,2022,17282.0,9293.0,3701.0,86559.0,4911
DUK9,DUKE ENERGY FLORIDA INC,2022,6353.0,3978.0,909.0,25554.0,4911
SO2,GEORGIA POWER,2022,11584.0,7802.0,1813.0,53163.0,4911
HE1,HAWAIIAN ELECTRIC CO,2022,3408.587,2873.972,190.924,6597.467,4911
HE,HAWAIIAN ELECTRIC INDS,2022,3741.985,3066.071,243.028,16284.244,4911
DINO,HF SINCLAIR CORP,2022,38204.839,33065.629,2922.668,18125.483,2911
4300A,HYDRO QUEBEC,2022,12241.11,5089.441,3367.1,66037.121,4911
IDA,IDACORP INC,2022,1643.981,1146.726,258.982,7543.258,4911
AEP2,INDIANA MICHIGAN POWER CO,2022,2669.6,1722.5,324.7,12118.9,4911
AES4,IPALCO ENTERPRISES INC,2022,1791.711,1295.258,96.626,5589.214,4911
GPU3,JERSEY CENTRAL POWER & LIGHT,2022,2055.0,1643.0,119.0,8632.0,4911
PNRG,PRIMEENERGY RESOURCES CORP,2022,125.057,48.91,48.664,247.137,1311
AEP4,KENTUCKY POWER,2022,773.221,596.16,47.552,3007.105,4911
RRC,RANGE RESOURCES CORP,2022,4146.803,1789.642,1183.37,6625.562,1311
ETR2,ENTERGY LOUISIANA LLC,2022,6338.768,4669.253,854.504,28144.555,4911
MRO,MARATHON OIL CORP,2022,7426.0,1907.0,3612.0,19940.0,1311
GPU1,METROPOLITAN EDISON,2022,1044.0,737.0,169.0,3168.0,4911
MXC,MEXCO ENERGY CORP,2022,9.557,1.72,4.663,17.82,1311
ETR6,SYSTEM ENERGY RESOURCES INC,2022,658.812,282.845,-276.593,4214.146,4911
ETR,ENTERGY CORP,2022,13764.237,9177.363,1121.485,58595.191,4911
ETR4,ENTERGY MISSISSSIPPI,2022,1624.234,1065.894,197.622,6078.764,4911
SO4,MISSISSIPPI POWER CO,2022,1694.0,1289.0,164.0,5272.0,4911
AYE1,MONONGAHELA POWER,2022,1697.0,1355.0,89.0,5140.0,4911
MUR,MURPHY OIL CORP,2022,3899.73,1121.056,965.047,10308.952,1311
OXY,OCCIDENTAL PETROLEUM CORP,2022,36634.0,13611.0,13304.0,72609.0,1311
FE,FIRSTENERGY CORP,2022,12459.0,9477.0,406.0,46108.0,4911
AEP5,OHIO POWER,2022,3665.1,2957.1,287.8,10003.1,4911
OTTR,OTTER TAIL CORP,2022,1460.209,977.173,284.184,2901.661,4911
MEC2,PACIFICORP,2022,5679.0,3401.0,920.0,29405.0,4911
ROCC,RANGER OIL CORPORATION,2022,1145.189,183.867,217.693,2014.207,1311
FE4,PENNSYLVANIA ELECTRIC CO,2022,962.0,657.0,162.0,3872.0,4911
PPL,PPL CORP,2022,7902.0,4927.0,756.0,37837.0,4911
PDCE,PDC ENERGY INC,2022,3845.733,699.341,1778.121,7982.765,1311
EXC,EXELON CORP,2022,19078.0,12354.0,2170.0,95349.0,4911
COP,CONOCOPHILLIPS,2022,78494.0,44341.0,18680.0,93829.0,1311
NU4,PUBLIC SERVICE CO/N H,2022,1474.799,1097.071,171.57,5202.654,4911
TXNM,TXNM ENERGY INC,2022,2249.555,1548.26,170.058,9257.377,4911
AEP12,PUBLIC SERVICE CO OF OKLA,2022,1874.7,1463.8,167.6,6965.9,4911
EIX,EDISON INTERNATIONAL,2022,17220.0,11572.0,824.0,78041.0,4911
SO,SOUTHERN CO,2022,29279.0,19869.0,3535.0,134891.0,4911
AEP13,SOUTHWESTERN ELECTRIC PWR CO,2022,2284.4,1589.6,290.1,10378.8,4911
SWN,SOUTHWESTERN ENERGY CO,2022,15002.0,6447.0,1849.0,12926.0,1311
NCE2,SOUTHWESTERN PUBLIC SVC CO,2022,2426.0,1604.0,349.0,9748.0,4911
SBOW,SILVERBOW RESOURCES INC,2022,753.42,131.734,340.437,1716.362,1311
PNM2,TEXAS NEW MEXICO POWER CO,2022,482.73,248.447,92.267,2746.601,4911
FE3,TOLEDO EDISON CO,2022,466.0,355.0,45.0,1463.0,4911
UNTC,UNIT CORP,2022,545.525,259.327,148.369,469.255,1311
USEG,US ENERGY CORP,2022,44.552,20.25,-0.963,118.32,1311
D1,VIRGINIA ELECTRIC & POWER CO,2022,9654.0,5753.0,1215.0,53194.0,4911
OVV,OVINTIV INC,2022,12464.0,7058.0,3637.0,15056.0,1311
ALTX,ALTEX INDUSTRIES INC,2022,0.036,0.003,0.313,2.491,1311
SHEL,SHELL PLC,2022,381782.0,284006.0,42309.0,443024.0,2911
POR,PORTLAND GENERAL ELECTRIC CO,2022,2647.0,1833.0,233.0,10459.0,4911
CX2,CLEVELAND ELECTRIC ILLUM,2022,1071.0,825.0,62.0,4415.0,4911
JECFF,JURA ENERGY CORP,2022,11.993,8.202,-2.684,32.175,1311
BRY,BERRY CORP,2022,918.341,511.337,250.168,1631.03,1311
