tic,conm,fyear,sale,cogs,ni,at,sich
SO,SOUTHERN CO,2020,20375.0,11712.0,3134.0,122935.0,4911
AEP13,SOUTHWESTERN ELECTRIC PWR CO,2020,1738.5,1175.3,180.8,8154.1,4911
NCE2,SOUTHWESTERN PUBLIC SVC CO,2020,1870.0,1216.0,295.0,8859.0,4911
SBOW,SILVERBOW RESOURCES INC,2020,177.386,408.479,-309.382,583.135,1311
PNM2,TEXAS NEW MEXICO POWER CO,2020,383.178,206.831,58.585,2132.58,4911
FE3,TOLEDO EDISON CO,2020,455.0,325.0,58.0,1475.0,4911
UNTC,UNIT CORP,2020,410.485,1210.688,-949.152,649.703,1311
USEG,US ENERGY CORP,2020,2.33,4.586,-6.439,12.363,1311
D1,VIRGINIA ELECTRIC & POWER CO,2020,7763.0,4825.0,1021.0,43654.0,4911
OVV,OVINTIV INC,2020,6087.0,9226.0,-6097.0,14469.0,1311
ALTX,ALTEX INDUSTRIES INC,2020,0.031,0.001,-0.13,2.329,1311
SHEL,SHELL PLC,2020,180543.0,141094.0,-21680.0,379268.0,2911
POR,PORTLAND GENERAL ELECTRIC CO,2020,2145.0,1295.0,155.0,9069.0,4911
CX2,CLEVELAND ELECTRIC ILLUM,2020,1035.0,742.0,95.0,4377.0,4911
JECFF,JURA ENERGY CORP,2020,18.741,3.661,3.853,63.907,1311
BRY,BERRY CORP,2020,523.833,535.931,-262.895,1419.81,1311
PED,PEDEVCO CORP,2020,8.059,23.766,-32.69,79.564,1311
SMC,SUMMIT MIDSTREAM CORP,2020,383.473,122.683,178.854,2499.817,1311
TGA,TRANSGLOBE ENERGY CORP,2020,121.937,104.498,-77.397,201.147,1311
AEP10,AEP GENERATING CO,2020,263.538,185.181,14.621,741.725,4911
PXD,PIONEER NATURAL RESOURCES CO,2020,7024.0,4595.0,-200.0,19229.0,1311
TAC,TRANSALTA CORP,2020,2101.0,964.0,-287.0,9747.0,4911
ATE1,ATLANTIC CITY ELECTRIC CO,2020,1245.0,943.0,112.0,4286.0,4911
EIX1,SOUTHERN CALIFORNIA EDISON,2020,13546.0,8830.0,942.0,69286.0,4911
DVN,DEVON ENERGY CORP,2020,4828.0,5800.0,-2680.0,9912.0,1311
CPE,CALLON PETROLEUM CO/DE,2020,1033.147,2943.699,-2533.621,4362.868,1311
VLO,VALERO ENERGY CORP,2020,60115.0,59079.0,-1421.0,51774.0,2911
REPYY,REPSOL SA,2020,40552.801,40290.027,-3964.515,59427.941,2911
CIN3,DUKE ENERGY INDIANA INC,2020,2795.0,1610.0,408.0,14041.0,4911
PQEFF,PETROTEQ ENERGY INC,2020,0.291,2.702,-12.379,73.645,1311
EOG,EOG RESOURCES INC,2020,11017.977,4003.581,-604.572,35804.601,1311
HGKGY,POWER ASSETS HOLDINGS LTD,2020,0.0,19.349,791.005,12067.863,4911
TALO,TALOS ENERGY INC,2020,587.486,515.534,-465.605,2834.546,1311
ORXPF,FORZA PETROLEUM LTD,2020,47.296,143.628,-108.743,605.412,1311
